Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Num_Shares,Num_Trades,Total_Turnover,Deliverable_Quantity,DQ_TQ,Spread_HighLow,Spread_CloseOpen
08-Aug-23,611.35,614.8,605.3,607.2,608.9202842,1000655,24220,609319127,420048,41.98,9.5,-4.15
07-Aug-23,618.55,618.6,608.7,609.55,611.5704547,850986,12821,520437895,494611,58.12,9.9,-9
04-Aug-23,625,625.25,612.7,614.55,616.8906061,670421,12483,413576417,253987,37.88,12.55,-10.45
03-Aug-23,624.25,626.25,614.35,618.8,620.484941,1108607,29964,687873949,305449,27.55,11.9,-5.45
02-Aug-23,643.4,644,616.5,622.7,627.5523097,923596,17930,579604803,336005,36.38,27.5,-20.7
01-Aug-23,644.65,652.9,642.1,643.25,647.4116767,511173,11754,330939369,193091,37.77,10.8,-1.4
31-Jul-23,640,645.6,636.7,644.05,642.7474724,335793,7977,215830102,100403,29.9,8.9,4.05
28-Jul-23,646.2,646.2,632.15,635.2,636.297181,767391,23786,488288730,301889,39.34,14.05,-11
27-Jul-23,642.6,657,636.8,645.9,644.4685839,535919,12496,345382959,160609,29.97,20.2,3.3
26-Jul-23,642,665.3,639,640.6,650.8834417,2002646,38779,1303489121,583470,29.13,26.3,-1.4
25-Jul-23,635.35,642.5,633.35,639.45,638.8696864,1227362,31867,784124376,449566,36.63,9.15,4.1
24-Jul-23,628,634.35,625.8,629.25,630.1293492,1035136,19533,652269574,392201,37.89,8.55,1.25
21-Jul-23,621,631,617.25,625.8,625.2794854,728979,16246,455815614,242590,33.28,13.75,4.8
20-Jul-23,621.35,623.5,616.35,621.55,620.6432424,514509,7871,319326534,246512,47.91,7.15,0.2
19-Jul-23,613.75,625.15,610,620.45,618.143276,1038206,19945,641760058,436135,42.01,15.15,6.7
18-Jul-23,621,621,607.2,612.2,611.7884996,626084,13466,383030991,277745,44.36,13.8,-8.8
17-Jul-23,626.25,627,617.1,618.35,619.8436926,437804,9215,271370048,230623,52.68,9.9,-7.9
14-Jul-23,623,625.7,619.35,624.75,623.1511153,652257,16480,406454677,296213,45.41,6.35,1.75
13-Jul-23,625,626.4,615.35,621.1,622.8419722,536798,9688,334340325,252422,47.02,11.05,-3.9
12-Jul-23,629.5,630.85,620,621.25,625.2020097,856746,23804,535639321,381974,44.58,10.85,-8.25
11-Jul-23,625.7,630.4,622.15,628.5,625.9973762,431810,11267,270311927,124178,28.76,8.25,2.8
10-Jul-23,625,634.6,617.5,618.45,626.1941401,2131852,44375,1334953230,953756,44.74,17.1,-6.55
07-Jul-23,600.8,624.65,592.25,618.45,606.815193,1690986,36869,1026115996,696239,41.17,32.4,17.65
06-Jul-23,588.55,605,588.5,600.8,597.8213669,1273605,26546,761388282,532143,41.78,16.5,12.25
05-Jul-23,592.95,592.95,585,588.35,588.887973,358494,9141,211112805,121634,33.93,7.95,-4.6
04-Jul-23,593,596.35,589.7,591.3,592.9507383,588469,16309,348933128,249274,42.36,6.65,-1.7
03-Jul-23,600,602.5,590,590.9,595.5793823,498272,12221,296760530,171439,34.41,12.5,-9.1
30-Jun-23,587.6,599,587.6,595.5,594.7554767,1360905,40945,809405702,691281,50.8,11.4,7.9
28-Jun-23,579.95,589.95,575.7,586.7,584.9675976,810157,14066,473915594,254238,31.38,14.25,6.75
27-Jun-23,570.3,576.9,568.85,573.05,573.9268255,635864,10669,364939407,335655,52.79,8.05,2.75
